Account,ATMID,caldate,Dispense,DT,MaxCapacity,CountTotalTxn
PQR,S1CN2820,24-05-2021,3000,1440,3520000,9
ABC,APAN22403,24-05-2021,443900,0,2420000,87
ABC,APAN35706,24-05-2021,25500,0,2860000,8
XYZ,T1NY000166081,24-05-2021,312500,0,3520000,102
ABC,SPCN02020,25-05-2021,254200,4,2640000,75
ABC,TPCN10269,25-05-2021,475000,3,3520000,90
ABC,APCN00816,25-05-2021,35700,0,2640000,15
PQR,S1CN1142,25-05-2021,188500,12,3520000,20
PQR,S1CN2022,25-05-2021,171600,0,2860000,60
PQR,SPCND067,25-05-2021,754500,87,3520000,143
ABC,APAN11109,25-05-2021,143000,936,3520000,35
ABC,APAN23217,25-05-2021,302500,0,3740000,130
PQR,SPCNG376,25-05-2021,128000,600,3520000,37
PQR,S1CN3514,25-05-2021,191500,38,3520000,74
PQR,S1CN2820,25-05-2021,0,1440,3520000,0
ABC,APAN22403,25-05-2021,266600,400,2420000,61
ABC,APAN35706,25-05-2021,2700,11,2860000,3
XYZ,T1NY000166081,25-05-2021,498600,28,3520000,124
ABC,SPCN02020,26-05-2021,227600,0,2640000,86
ABC,TPCN10269,26-05-2021,1294300,1,3520000,200
ABC,APCN00816,26-05-2021,58400,0,2640000,27
PQR,S1CN1142,26-05-2021,45000,0,3520000,7
PQR,S1CN2022,26-05-2021,166900,0,2860000,94
PQR,SPCND067,26-05-2021,1259000,0,3520000,256
ABC,APAN11109,26-05-2021,431000,0,3520000,103
ABC,APAN23217,26-05-2021,220500,0,3740000,83
PQR,SPCNG376,26-05-2021,0,1440,3520000,0
PQR,S1CN3514,26-05-2021,35000,623,3520000,33
PQR,S1CN2820,26-05-2021,197500,1000,3520000,84
ABC,APAN22403,26-05-2021,336400,707,2420000,69
ABC,APAN35706,26-05-2021,11500,0,2860000,3
XYZ,T1NY000166081,26-05-2021,312000,0,3520000,95
ABC,SPCN02020,27-05-2021,192600,0,2640000,68
ABC,TPCN10269,27-05-2021,614900,0,3520000,114
ABC,APCN00816,27-05-2021,55000,0,2640000,21
PQR,S1CN1142,27-05-2021,149000,0,3520000,18
PQR,S1CN2022,27-05-2021,255800,0,2860000,122
PQR,SPCND067,27-05-2021,522500,0,3520000,101
ABC,APAN11109,27-05-2021,369000,0,3520000,121
ABC,APAN23217,27-05-2021,351700,0,3740000,142
PQR,SPCNG376,27-05-2021,0,0,3520000,0
PQR,S1CN3514,27-05-2021,265500,0,3520000,90
PQR,S1CN2820,27-05-2021,342500,0,3520000,115
ABC,APAN22403,27-05-2021,316200,0,2420000,77
ABC,APAN35706,27-05-2021,9000,0,2860000,2
XYZ,T1NY000166081,27-05-2021,230000,46,3520000,66
XYZ,T1BH000011116,27-05-2021,18000,0,3520000,10
ABC,SPCN02020,28-05-2021,442400,0,2640000,92
ABC,TPCN10269,28-05-2021,687000,0,3520000,117
ABC,APCN00816,28-05-2021,58000,0,2640000,24
PQR,S1CN1142,28-05-2021,71000,6,3520000,11
PQR,S1CN2022,28-05-2021,183900,5,2860000,99
PQR,SPCND067,28-05-2021,698500,11,3520000,126
ABC,APAN11109,28-05-2021,228000,250,3520000,50
ABC,APAN23217,28-05-2021,492900,0,3740000,138
PQR,SPCNG376,28-05-2021,0,1440,3520000,0
PQR,S1CN3514,28-05-2021,322500,70,3520000,129
PQR,S1CN2820,28-05-2021,143000,27,3520000,50
ABC,APAN22403,28-05-2021,318800,0,2420000,110
ABC,APAN35706,28-05-2021,14800,0,2860000,5
XYZ,T1NY000166081,28-05-2021,852500,56,3520000,228
XYZ,T1BH000011116,28-05-2021,79000,0,3520000,39
ABC,SPCN02020,29-05-2021,313900,0,2640000,100
ABC,TPCN10269,29-05-2021,233700,43,3520000,53
ABC,APCN00816,29-05-2021,39900,0,2640000,20
PQR,S1CN1142,29-05-2021,60500,6,3520000,9
PQR,S1CN2022,29-05-2021,167700,17,2860000,110
PQR,SPCND067,29-05-2021,628500,11,3520000,128
ABC,APAN11109,29-05-2021,316000,8,3520000,68
ABC,APAN23217,29-05-2021,390300,3,3740000,109
PQR,SPCNG376,29-05-2021,72500,882,3520000,43
PQR,S1CN3514,29-05-2021,240500,0,3520000,66
PQR,S1CN2820,29-05-2021,294000,0,3520000,111
ABC,APAN22403,29-05-2021,0,0,2420000,0
ABC,APAN35706,29-05-2021,1500,0,2860000,5
XYZ,T1NY000166081,29-05-2021,905900,0,3520000,214
XYZ,T1BH000011116,29-05-2021,294500,0,3520000,80
ABC,SPCN02020,30-05-2021,364000,0,2640000,113
ABC,TPCN10269,30-05-2021,147900,0,3520000,35
ABC,APCN00816,30-05-2021,400,0,2640000,3
PQR,S1CN1142,30-05-2021,136000,0,3520000,15
PQR,S1CN2022,30-05-2021,292400,0,2860000,157
PQR,SPCND067,30-05-2021,420500,0,3520000,98
ABC,APAN11109,30-05-2021,66000,0,3520000,29
ABC,APAN23217,30-05-2021,384800,0,3740000,104
PQR,SPCNG376,30-05-2021,124500,0,3520000,47
PQR,S1CN3514,30-05-2021,172500,0,3520000,88
PQR,S1CN2820,30-05-2021,335500,0,3520000,116
ABC,APAN22403,30-05-2021,0,0,2420000,0
ABC,APAN35706,30-05-2021,6000,0,2860000,2
XYZ,T1NY000166081,30-05-2021,847000,105,3520000,238
XYZ,T1BH000011116,30-05-2021,157500,0,3520000,80
ABC,SPCN02020,31-05-2021,513900,5,2640000,117
ABC,TPCN10269,31-05-2021,713600,0,3520000,100
ABC,APCN00816,31-05-2021,140600,0,2640000,55
PQR,S1CN1142,31-05-2021,241500,0,3520000,30
PQR,S1CN2022,31-05-2021,655000,0,2860000,166
PQR,SPCND067,31-05-2021,746500,69,3520000,129
ABC,APAN11109,31-05-2021,353000,0,3520000,91
ABC,APAN23217,31-05-2021,12900,1006,3740000,3
PQR,SPCNG376,31-05-2021,439500,5,3520000,87
PQR,S1CN3514,31-05-2021,290000,0,3520000,105
PQR,S1CN2820,31-05-2021,373000,11,3520000,94
ABC,APAN22403,31-05-2021,805700,0,2420000,123
ABC,APAN35706,31-05-2021,5200,0,2860000,3
XYZ,T1NY000166081,31-05-2021,1302900,0,3520000,299
XYZ,T1BH000011116,31-05-2021,551500,0,3520000,145
ABC,SPCN02020,01-06-2021,595300,709,2640000,121
ABC,TPCN10269,01-06-2021,604900,93,3520000,107
ABC,APCN00816,01-06-2021,154800,6,2640000,37
PQR,S1CN1142,01-06-2021,240500,6,3520000,34
PQR,S1CN2022,01-06-2021,859700,22,2860000,197
PQR,SPCND067,01-06-2021,0,630,3520000,17
ABC,APAN11109,01-06-2021,308500,9,3520000,82
ABC,APAN23217,01-06-2021,165400,750,3740000,47
PQR,SPCNG376,01-06-2021,665500,0,3520000,131
PQR,S1CN3514,01-06-2021,287500,0,3520000,90
PQR,S1CN2820,01-06-2021,346500,5,3520000,116
ABC,APAN22403,01-06-2021,359200,0,2420000,106
ABC,APAN35706,01-06-2021,11400,0,2860000,4
XYZ,T1NY000166081,01-06-2021,1411100,0,3520000,292
XYZ,T1BH000011116,01-06-2021,764500,71,3520000,186
ABC,SPCN02020,02-06-2021,702000,0,2640000,134
ABC,TPCN10269,02-06-2021,484700,0,3520000,69
ABC,APCN00816,02-06-2021,132600,0,2640000,37
PQR,S1CN1142,02-06-2021,158000,0,3520000,17
PQR,S1CN2022,02-06-2021,577600,0,2860000,172
PQR,SPCND067,02-06-2021,475000,914,3520000,103
ABC,APAN11109,02-06-2021,332000,68,3520000,105
ABC,APAN23217,02-06-2021,244200,0,3740000,103
PQR,SPCNG376,02-06-2021,769000,6,3520000,115
PQR,S1CN3514,02-06-2021,225000,136,3520000,63
PQR,S1CN2820,02-06-2021,316000,6,3520000,93
ABC,APAN22403,02-06-2021,210000,9,2420000,64
ABC,APAN35706,02-06-2021,33000,0,2860000,8
XYZ,T1NY000166081,02-06-2021,401400,39,3520000,105
XYZ,T1BH000011116,02-06-2021,709500,0,3520000,183
ABC,SPCN02020,03-06-2021,427400,5,2640000,96
ABC,TPCN10269,03-06-2021,778300,2,3520000,110
ABC,APCN00816,03-06-2021,143000,0,2640000,41
PQR,S1CN1142,03-06-2021,205000,16,3520000,21
PQR,S1CN2022,03-06-2021,463700,5,2860000,156
PQR,SPCND067,03-06-2021,942000,50,3520000,160
ABC,APAN11109,03-06-2021,343500,8,3520000,96
ABC,APAN23217,03-06-2021,75800,8,3740000,26
PQR,SPCNG376,03-06-2021,783500,0,3520000,117
PQR,S1CN3514,03-06-2021,0,252,3520000,117
PQR,S1CN2820,03-06-2021,419500,0,3520000,95
ABC,APAN22403,03-06-2021,540800,0,2420000,110
ABC,APAN35706,03-06-2021,38500,0,2860000,6
XYZ,T1NY000166081,03-06-2021,1003900,0,3520000,272
XYZ,T1BH000011116,03-06-2021,406000,0,3520000,118
ABC,SPCN02020,04-06-2021,533500,0,2640000,110
ABC,TPCN10269,04-06-2021,541400,40,3520000,79
ABC,APCN00816,04-06-2021,206800,4,2640000,59
PQR,S1CN1142,04-06-2021,164000,32,3520000,23
PQR,S1CN2022,04-06-2021,446100,16,2860000,151
PQR,SPCND067,04-06-2021,893000,0,3520000,169
ABC,APAN11109,04-06-2021,174000,4,3520000,50
ABC,APAN23217,04-06-2021,406700,5,3740000,114
PQR,SPCNG376,04-06-2021,715000,11,3520000,102
PQR,S1CN3514,04-06-2021,755500,6,3520000,184
PQR,S1CN2820,04-06-2021,256000,5,3520000,87
ABC,APAN22403,04-06-2021,444200,0,2420000,85
ABC,APAN35706,04-06-2021,21500,0,2860000,3
XYZ,T1NY000166081,04-06-2021,816600,0,3520000,201
XYZ,T1BH000011116,04-06-2021,338500,0,3520000,104
ABC,SPCN02020,05-06-2021,533500,236,2640000,109
ABC,TPCN10269,05-06-2021,202200,6,3520000,43
ABC,APCN00816,05-06-2021,225200,0,2640000,62
PQR,S1CN1142,05-06-2021,140000,7,3520000,22
PQR,S1CN2022,05-06-2021,653300,0,2860000,170
PQR,SPCND067,05-06-2021,918500,22,3520000,188
ABC,APAN11109,05-06-2021,200000,6,3520000,69
ABC,APAN23217,05-06-2021,221800,601,3740000,73
PQR,SPCNG376,05-06-2021,813500,0,3520000,132
PQR,S1CN3514,05-06-2021,263000,106,3520000,72
PQR,S1CN2820,05-06-2021,313000,0,3520000,108
ABC,APAN22403,05-06-2021,631500,8,2420000,122
ABC,APAN35706,05-06-2021,1900,0,2860000,4
XYZ,T1NY000166081,05-06-2021,550300,54,3520000,155
XYZ,T1BH000011116,05-06-2021,261500,0,3520000,86
ABC,SPCN02020,06-06-2021,165500,0,2640000,49
ABC,TPCN10269,06-06-2021,133000,42,3520000,23
ABC,APCN00816,06-06-2021,20400,0,2640000,9
PQR,S1CN1142,06-06-2021,31500,0,3520000,8
PQR,S1CN2022,06-06-2021,584200,0,2860000,207
PQR,SPCND067,06-06-2021,487000,0,3520000,86
ABC,APAN11109,06-06-2021,181500,436,3520000,68
ABC,APAN23217,06-06-2021,0,1436,3740000,0
PQR,SPCNG376,06-06-2021,176000,0,3520000,41
PQR,S1CN3514,06-06-2021,238500,0,3520000,88
PQR,S1CN2820,06-06-2021,249500,96,3520000,66
ABC,APAN22403,06-06-2021,4000,0,2420000,7
ABC,APAN35706,06-06-2021,2200,0,2860000,1
XYZ,T1NY000166081,06-06-2021,613400,0,3520000,168
XYZ,T1BH000011116,06-06-2021,320500,0,3520000,113
ABC,SPCN02020,07-06-2021,384600,6,2640000,97
ABC,TPCN10269,07-06-2021,763300,480,3520000,129
ABC,APCN00816,07-06-2021,147100,2,2640000,55
PQR,S1CN1142,07-06-2021,367500,0,3520000,34
PQR,S1CN2022,07-06-2021,677700,5,2860000,234
PQR,SPCND067,07-06-2021,773000,0,3520000,162
ABC,APAN11109,07-06-2021,0,1440,3520000,12
ABC,APAN23217,07-06-2021,24300,1205,3740000,6
PQR,SPCNG376,07-06-2021,344500,5,3520000,71
PQR,S1CN3514,07-06-2021,738500,38,3520000,204
PQR,S1CN2820,07-06-2021,197000,38,3520000,55
ABC,APAN22403,07-06-2021,0,669,2420000,0
ABC,APAN35706,07-06-2021,50000,0,2860000,13
XYZ,T1NY000166081,07-06-2021,859800,0,3520000,232
XYZ,T1BH000011116,07-06-2021,105500,327,3520000,41
ABC,SPCN02020,08-06-2021,425000,5,2640000,96
ABC,TPCN10269,08-06-2021,411300,7,3520000,75
ABC,APCN00816,08-06-2021,138100,40,2640000,42
PQR,S1CN1142,08-06-2021,146500,0,3520000,24
PQR,S1CN2022,08-06-2021,1044900,0,2860000,275
PQR,SPCND067,08-06-2021,942500,0,3520000,178
ABC,APAN11109,08-06-2021,0,1440,3520000,14
ABC,APAN23217,08-06-2021,467800,0,3740000,137
PQR,SPCNG376,08-06-2021,1500,600,3520000,22
PQR,S1CN3514,08-06-2021,468500,537,3520000,111
PQR,S1CN2820,08-06-2021,362500,0,3520000,109
ABC,APAN22403,08-06-2021,192500,1252,2420000,29
ABC,APAN35706,08-06-2021,35000,517,2860000,10
XYZ,T1NY000166081,08-06-2021,970300,0,3520000,219
XYZ,T1BH000011116,08-06-2021,366500,119,3520000,94
ABC,SPCN02020,09-06-2021,374200,0,2640000,69
ABC,TPCN10269,09-06-2021,377900,89,3520000,64
ABC,APCN00816,09-06-2021,82400,3,2640000,25
PQR,S1CN1142,09-06-2021,119000,0,3520000,15
PQR,S1CN2022,09-06-2021,633900,16,2860000,206
PQR,SPCND067,09-06-2021,618000,0,3520000,116
ABC,APAN11109,09-06-2021,117000,9,3520000,34
ABC,APAN23217,09-06-2021,457100,4,3740000,121
PQR,SPCNG376,09-06-2021,296500,944,3520000,55
PQR,S1CN3514,09-06-2021,0,1207,3520000,9
PQR,S1CN2820,09-06-2021,481000,38,3520000,128
ABC,APAN22403,09-06-2021,75500,1026,2420000,23
ABC,APAN35706,09-06-2021,0,1440,2860000,0
XYZ,T1NY000166081,09-06-2021,904900,35,3520000,234
XYZ,T1BH000011116,09-06-2021,117000,0,3520000,72
ABC,SPCN02020,10-06-2021,176200,0,2640000,58
ABC,TPCN10269,10-06-2021,480500,71,3520000,87
ABC,APCN00816,10-06-2021,145200,0,2640000,36
PQR,S1CN1142,10-06-2021,251000,0,3520000,27
PQR,S1CN2022,10-06-2021,906300,0,2860000,240
PQR,SPCND067,10-06-2021,414000,12,3520000,97
ABC,APAN11109,10-06-2021,512000,0,3520000,122
ABC,APAN23217,10-06-2021,593300,0,3740000,154
PQR,SPCNG376,10-06-2021,534500,64,3520000,104
PQR,S1CN3514,10-06-2021,425500,49,3520000,135
PQR,S1CN2820,10-06-2021,536000,38,3520000,155
ABC,APAN22403,10-06-2021,237800,318,2420000,53
ABC,APAN35706,10-06-2021,0,1440,2860000,0
XYZ,T1NY000166081,10-06-2021,757300,0,3520000,195
XYZ,T1BH000011116,10-06-2021,149500,112,3520000,57
ABC,SPCN02020,11-06-2021,179900,9,2640000,55
ABC,TPCN10269,11-06-2021,453000,185,3520000,76
ABC,APCN00816,11-06-2021,117500,3,2640000,33
PQR,S1CN1142,11-06-2021,338000,40,3520000,36
PQR,S1CN2022,11-06-2021,670900,56,2860000,224
PQR,SPCND067,11-06-2021,871500,56,3520000,139
ABC,APAN11109,11-06-2021,369000,347,3520000,103
ABC,APAN23217,11-06-2021,416900,3,3740000,129
PQR,SPCNG376,11-06-2021,902000,146,3520000,121
PQR,S1CN3514,11-06-2021,503500,81,3520000,142
PQR,S1CN2820,11-06-2021,289500,45,3520000,93
ABC,APAN22403,11-06-2021,55000,870,2420000,30
ABC,APAN35706,11-06-2021,0,1440,2860000,3
XYZ,T1NY000166081,11-06-2021,861400,0,3520000,211
XYZ,T1BH000011116,11-06-2021,333500,0,3520000,137
ABC,SPCN02020,12-06-2021,651200,0,2640000,139
ABC,TPCN10269,12-06-2021,683400,45,3520000,76
ABC,APCN00816,12-06-2021,159700,0,2640000,42
PQR,S1CN1142,12-06-2021,257500,7,3520000,24
PQR,S1CN2022,12-06-2021,479300,17,2860000,168
PQR,SPCND067,12-06-2021,675500,3,3520000,138
ABC,APAN11109,12-06-2021,47500,1155,3520000,23
ABC,APAN23217,12-06-2021,471600,0,3740000,108
PQR,SPCNG376,12-06-2021,320000,181,3520000,81
PQR,S1CN3514,12-06-2021,220500,338,3520000,50
PQR,S1CN2820,12-06-2021,440500,6,3520000,113
ABC,APAN22403,12-06-2021,3000,1038,2420000,11
ABC,APAN35706,12-06-2021,0,1440,2860000,0
XYZ,T1NY000166081,12-06-2021,303200,517,3520000,97
XYZ,T1BH000011116,12-06-2021,389500,0,3520000,138
ABC,SPCN02020,13-06-2021,457100,0,2640000,107
ABC,TPCN10269,13-06-2021,204500,79,3520000,36
ABC,APCN00816,13-06-2021,16000,0,2640000,8
PQR,S1CN1142,13-06-2021,472000,0,3520000,58
PQR,S1CN2022,13-06-2021,575500,0,2860000,259
PQR,SPCND067,13-06-2021,507500,0,3520000,101
ABC,APAN11109,13-06-2021,493500,0,3520000,132
ABC,APAN23217,13-06-2021,463600,0,3740000,143
PQR,SPCNG376,13-06-2021,118000,263,3520000,32
PQR,S1CN3514,13-06-2021,327000,0,3520000,89
PQR,S1CN2820,13-06-2021,573500,0,3520000,159
ABC,APAN22403,13-06-2021,0,1440,2420000,1
ABC,APAN35706,13-06-2021,0,1440,2860000,0
XYZ,T1NY000166081,13-06-2021,807900,478,3520000,190
XYZ,T1BH000011116,13-06-2021,343000,0,3520000,122
ABC,SPCN02020,14-06-2021,274900,4,2640000,84
ABC,TPCN10269,14-06-2021,886500,0,3520000,112
ABC,APCN00816,14-06-2021,119200,0,2640000,26
PQR,S1CN1142,14-06-2021,279000,332,3520000,31
PQR,S1CN2022,14-06-2021,1050900,11,2860000,297
PQR,SPCND067,14-06-2021,634000,5,3520000,142
ABC,APAN11109,14-06-2021,278000,774,3520000,79
ABC,APAN23217,14-06-2021,329500,0,3740000,121
PQR,SPCNG376,14-06-2021,1218000,11,3520000,199
PQR,S1CN3514,14-06-2021,0,1178,3520000,0
PQR,S1CN2820,14-06-2021,459500,0,3520000,135
ABC,APAN22403,14-06-2021,69500,900,2420000,20
ABC,APAN35706,14-06-2021,0,1440,2860000,1
XYZ,T1NY000166081,14-06-2021,833300,55,3520000,208
XYZ,T1BH000011116,14-06-2021,326000,0,3520000,95
XYZ,T1BH000603091,14-06-2021,1000,0,3520000,3
ABC,SPCN02020,15-06-2021,452600,0,2640000,128
ABC,TPCN10269,15-06-2021,632100,4,3520000,105
ABC,APCN00816,15-06-2021,163700,0,2640000,49
PQR,S1CN1142,15-06-2021,272500,48,3520000,35
PQR,S1CN2022,15-06-2021,496100,17,2860000,185
PQR,SPCND067,15-06-2021,956500,10,3520000,172
ABC,APAN11109,15-06-2021,140000,960,3520000,53
ABC,APAN23217,15-06-2021,256900,4,3740000,92
PQR,SPCNG376,15-06-2021,824000,0,3520000,147
PQR,S1CN3514,15-06-2021,0,1440,3520000,0
PQR,S1CN2820,15-06-2021,540000,0,3520000,152
ABC,APAN22403,15-06-2021,14600,41,2420000,7
ABC,APAN35706,15-06-2021,0,1440,2860000,1
XYZ,T1NY000166081,15-06-2021,937500,0,3520000,225
XYZ,T1BH000011116,15-06-2021,419500,0,3520000,141
XYZ,T1BH000603091,15-06-2021,0,0,3520000,0
ABC,SPCN02020,16-06-2021,243900,9,2640000,61
ABC,TPCN10269,16-06-2021,426800,57,3520000,74
ABC,APCN00816,16-06-2021,51000,0,2640000,30
PQR,S1CN1142,16-06-2021,100500,0,3520000,18
PQR,S1CN2022,16-06-2021,643700,0,2860000,233
PQR,SPCND067,16-06-2021,1105500,16,3520000,163
ABC,APAN11109,16-06-2021,543500,0,3520000,129
ABC,APAN23217,16-06-2021,343000,0,3740000,111
PQR,SPCNG376,16-06-2021,536500,12,3520000,102
PQR,S1CN3514,16-06-2021,0,1440,3520000,0
PQR,S1CN2820,16-06-2021,336000,0,3520000,103
ABC,APAN22403,16-06-2021,6500,849,2420000,3
ABC,APAN35706,16-06-2021,0,1440,2860000,0
XYZ,T1NY000166081,16-06-2021,401800,40,3520000,125
XYZ,T1BH000011116,16-06-2021,327500,0,3520000,101
XYZ,T1BH000603091,16-06-2021,0,0,3520000,0
ABC,SPCN02020,17-06-2021,276700,0,2640000,84
ABC,TPCN10269,17-06-2021,271700,75,3520000,45
ABC,APCN00816,17-06-2021,90200,3,2640000,36
PQR,S1CN1142,17-06-2021,120500,0,3520000,16
PQR,S1CN2022,17-06-2021,337500,350,2860000,155
PQR,SPCND067,17-06-2021,730000,11,3520000,146
ABC,APAN11109,17-06-2021,256000,22,3520000,64
ABC,APAN23217,17-06-2021,226100,0,3740000,93
PQR,SPCNG376,17-06-2021,635500,0,3520000,103
PQR,S1CN3514,17-06-2021,0,1440,3520000,0
PQR,S1CN2820,17-06-2021,389000,0,3520000,99
ABC,APAN22403,17-06-2021,0,1440,2420000,0
ABC,APAN35706,17-06-2021,3200,1351,2860000,2
XYZ,T1NY000166081,17-06-2021,570300,0,3520000,168
XYZ,T1BH000011116,17-06-2021,295000,0,3520000,63
XYZ,T1BH000603091,17-06-2021,0,0,3520000,0
ABC,SPCN02020,18-06-2021,303900,3,2640000,96
ABC,TPCN10269,18-06-2021,570100,3,3520000,85
ABC,APCN00816,18-06-2021,104900,2,2640000,35
PQR,S1CN1142,18-06-2021,234500,0,3520000,24
PQR,S1CN2022,18-06-2021,110800,1016,2860000,64
PQR,SPCND067,18-06-2021,504500,0,3520000,119
ABC,APAN11109,18-06-2021,388500,43,3520000,102
ABC,APAN23217,18-06-2021,180100,5,3740000,90
PQR,SPCNG376,18-06-2021,108500,480,3520000,42
PQR,S1CN3514,18-06-2021,0,1440,3520000,0
PQR,S1CN2820,18-06-2021,409500,5,3520000,123
ABC,APAN22403,18-06-2021,0,1440,2420000,0
ABC,APAN35706,18-06-2021,0,1440,2860000,0
XYZ,T1NY000166081,18-06-2021,499000,0,3520000,140
XYZ,T1BH000011116,18-06-2021,353000,349,3520000,124
XYZ,T1BH000603091,18-06-2021,0,772,3520000,2
ABC,SPCN02020,19-06-2021,242900,283,2640000,76
ABC,TPCN10269,19-06-2021,489200,0,3520000,93
ABC,APCN00816,19-06-2021,121300,3,2640000,40
PQR,S1CN1142,19-06-2021,231500,6,3520000,37
PQR,S1CN2022,19-06-2021,500600,0,2860000,230
PQR,SPCND067,19-06-2021,759500,33,3520000,134
ABC,APAN11109,19-06-2021,337500,8,3520000,82
ABC,APAN23217,19-06-2021,296600,0,3740000,95
PQR,SPCNG376,19-06-2021,0,1440,3520000,0
PQR,S1CN3514,19-06-2021,0,1440,3520000,0
PQR,S1CN2820,19-06-2021,497000,6,3520000,128
ABC,APAN22403,19-06-2021,50000,1206,2420000,18
ABC,APAN35706,19-06-2021,0,1440,2860000,0
XYZ,T1NY000166081,19-06-2021,706500,0,3520000,181
XYZ,T1BH000011116,19-06-2021,361500,0,3520000,122
XYZ,T1BH000603091,19-06-2021,6000,1440,3520000,6
XYZ,T1BH000274012,19-06-2021,21500,0,2860000,10
ABC,SPCN02020,20-06-2021,313800,0,2640000,102
ABC,TPCN10269,20-06-2021,63000,8,3520000,18
ABC,APCN00816,20-06-2021,21200,0,2640000,11
PQR,S1CN1142,20-06-2021,210500,0,3520000,32
PQR,S1CN2022,20-06-2021,472300,0,2860000,250
PQR,SPCND067,20-06-2021,641000,0,3520000,123
ABC,APAN11109,20-06-2021,254500,29,3520000,92
ABC,APAN23217,20-06-2021,210900,0,3740000,73
PQR,SPCNG376,20-06-2021,0,1440,3520000,0
PQR,S1CN3514,20-06-2021,0,1440,3520000,0
PQR,S1CN2820,20-06-2021,314000,0,3520000,88
ABC,APAN22403,20-06-2021,0,1440,2420000,2
ABC,APAN35706,20-06-2021,5500,660,2860000,3
XYZ,T1NY000166081,20-06-2021,568500,0,3520000,163
XYZ,T1BH000011116,20-06-2021,301000,0,3520000,122
XYZ,T1BH000603091,20-06-2021,29000,0,3520000,12
XYZ,T1BH000274012,20-06-2021,104500,0,2860000,49
ABC,SPCN02020,21-06-2021,185200,28,2640000,72
ABC,TPCN10269,21-06-2021,449000,166,3520000,60
ABC,APCN00816,21-06-2021,43900,0,2640000,29
PQR,S1CN1142,21-06-2021,150000,0,3520000,25
PQR,S1CN2022,21-06-2021,298900,241,2860000,145
PQR,SPCND067,21-06-2021,212000,306,3520000,56
ABC,APAN11109,21-06-2021,422500,0,3520000,102
ABC,APAN23217,21-06-2021,107300,337,3740000,53
PQR,SPCNG376,21-06-2021,0,1440,3520000,0
PQR,S1CN3514,21-06-2021,0,1440,3520000,0
PQR,S1CN2820,21-06-2021,282500,32,3520000,66
ABC,APAN22403,21-06-2021,2000,1050,2420000,4
ABC,APAN35706,21-06-2021,20000,11,2860000,4
XYZ,T1NY000166081,21-06-2021,845500,0,3520000,223
XYZ,T1BH000011116,21-06-2021,302500,0,3520000,97
XYZ,T1BH000603091,21-06-2021,53500,0,3520000,21
XYZ,T1BH000274012,21-06-2021,72200,0,2860000,33
ABC,SPCN02020,22-06-2021,294100,5,2640000,78
ABC,TPCN10269,22-06-2021,425100,0,3520000,73
ABC,APCN00816,22-06-2021,55100,14,2640000,29
PQR,S1CN1142,22-06-2021,249000,6,3520000,37
PQR,S1CN2022,22-06-2021,616700,0,2860000,168
PQR,SPCND067,22-06-2021,433500,0,3520000,77
ABC,APAN11109,22-06-2021,247500,0,3520000,78
ABC,APAN23217,22-06-2021,69500,719,3740000,42
PQR,SPCNG376,22-06-2021,0,1440,3520000,0
PQR,S1CN3514,22-06-2021,0,1440,3520000,0
PQR,S1CN2820,22-06-2021,344500,0,3520000,109
ABC,APAN22403,22-06-2021,0,829,2420000,0
ABC,APAN35706,22-06-2021,10000,0,2860000,1
XYZ,T1NY000166081,22-06-2021,994000,0,3520000,250
XYZ,T1BH000011116,22-06-2021,474000,0,3520000,181
XYZ,T1BH000603091,22-06-2021,30500,32,3520000,17
XYZ,T1BH000274012,22-06-2021,52400,0,2860000,24
ABC,SPCN02020,23-06-2021,388500,0,2640000,111
ABC,TPCN10269,23-06-2021,410200,4,3520000,68
ABC,APCN00816,23-06-2021,50000,0,2640000,27
PQR,S1CN1142,23-06-2021,196000,0,3520000,30
PQR,S1CN2022,23-06-2021,269700,11,2860000,149
PQR,SPCND067,23-06-2021,695500,0,3520000,140
ABC,APAN11109,23-06-2021,0,0,3520000,12
ABC,APAN23217,23-06-2021,216500,409,3740000,51
PQR,SPCNG376,23-06-2021,0,1440,3520000,0
PQR,S1CN3514,23-06-2021,0,1440,3520000,0
PQR,S1CN2820,23-06-2021,425000,0,3520000,134
ABC,APAN22403,23-06-2021,0,1440,2420000,0
ABC,APAN35706,23-06-2021,0,44,2860000,0
XYZ,T1NY000166081,23-06-2021,858500,80,3520000,215
XYZ,T1BH000011116,23-06-2021,554500,97,3520000,178
XYZ,T1BH000603091,23-06-2021,111500,96,3520000,33
XYZ,T1BH000274012,23-06-2021,119900,0,2860000,30
ABC,SPCN02020,24-06-2021,139000,62,2640000,57
ABC,TPCN10269,24-06-2021,694900,0,3520000,98
ABC,APCN00816,24-06-2021,34200,0,2640000,23
PQR,S1CN1142,24-06-2021,175500,5,3520000,20
PQR,S1CN2022,24-06-2021,430400,0,2860000,156
PQR,SPCND067,24-06-2021,466000,86,3520000,92
ABC,APAN11109,24-06-2021,363000,8,3520000,82
ABC,APAN23217,24-06-2021,80300,835,3740000,42
PQR,SPCNG376,24-06-2021,0,1440,3520000,0
PQR,S1CN3514,24-06-2021,0,1440,3520000,0
PQR,S1CN2820,24-06-2021,245000,28,3520000,71
ABC,APAN22403,24-06-2021,39500,1002,2420000,23
ABC,APAN35706,24-06-2021,1000,0,2860000,2
XYZ,T1NY000166081,24-06-2021,1350500,97,3520000,297
XYZ,T1BH000011116,24-06-2021,314000,0,3520000,130
